question,answer
What is EPR?,Extended Producer Responsibility is a policy that makes producers responsible for the management of products and packaging after they become waste.
What does EPR stand for?,EPR stands for Extended Producer Responsibility.
Why is EPR important?,EPR helps reduce environmental pollution and promotes recycling and circular economy practices.
Who regulates EPR in India?,The Central Pollution Control Board CPCB regulates EPR implementation in India.
What is CPCB?,CPCB stands for Central Pollution Control Board.
What is PIBO?,PIBO stands for Producer Importer and Brand Owner.
Who is a Producer?,A Producer manufactures or imports products using plastic packaging.
Who is an Importer?,An Importer brings products or packaging into India from another country.
Who is a Brand Owner?,A Brand Owner sells products under a registered brand name.
Who requires EPR registration?,Eligible Producers Importers and Brand Owners require EPR registration.
Is EPR registration mandatory?,Yes for entities covered under applicable EPR regulations.
What is the EPR portal?,The EPR portal is an online system used for registration compliance and reporting.
How can I register under EPR?,Registration is completed through the designated EPR portal with required documentation.
What is KYC in EPR registration?,KYC refers to Know Your Customer documentation required during registration.
What documents are required for KYC?,Company PAN GST CIN and authorized person's PAN and Aadhaar are commonly required.
What is PAN?,PAN is the Permanent Account Number issued by the Income Tax Department.
What is GST?,GST is the Goods and Services Tax registration required for businesses.
What is CIN?,CIN is the Corporate Identification Number assigned to companies registered under MCA.
Can a partnership firm register under EPR?,Yes eligible partnership firms can register using required documentation.
Can a proprietorship register under EPR?,Yes eligible proprietorship firms can register using PAN and GST details.
What are EPR targets?,EPR targets are obligations assigned to PIBOs for managing plastic packaging waste.
How are EPR targets calculated?,Targets are calculated using eligible quantity and applicable target percentages.
What is Eligible Quantity Q?,Q is the quantity used for calculating EPR obligations.
What is virgin plastic packaging?,Virgin plastic packaging is packaging manufactured from newly produced plastic material.
What is pre-consumer plastic waste?,Pre-consumer plastic waste is waste generated before a product reaches consumers.
What is post-consumer plastic waste?,Post-consumer plastic waste is waste generated after consumer use.
What is recycling?,Recycling converts waste plastic into reusable materials or products.
What is reuse?,Reuse refers to using packaging multiple times before disposal.
What is recycled content?,Recycled content is material recovered from waste and used again in products.
What is end-of-life disposal?,End-of-life disposal refers to environmentally safe disposal of non-recyclable waste.
What is Environmental Compensation?,Environmental Compensation is a penalty imposed for non-compliance.
What are plastic credits?,Plastic credits are compliance certificates generated through approved waste processing activities.
What is an EPR certificate?,An EPR certificate is proof of fulfillment of EPR obligations.
Who issues EPR certificates?,Eligible plastic waste processors generate EPR certificates through approved systems.
Can EPR certificates be transferred?,Transferability depends on applicable regulatory provisions.
What is a Plastic Waste Processor?,A Plastic Waste Processor is an entity that processes plastic waste through approved methods.
Who are recyclers?,Recyclers process plastic waste into reusable raw materials or products.
What is a Material Recovery Facility?,A Material Recovery Facility sorts and prepares waste for recycling.
What is waste-to-energy?,Waste-to-energy converts waste into usable energy.
What is waste-to-oil?,Waste-to-oil converts plastic waste into fuel or oil products.
What is industrial composting?,Industrial composting is controlled decomposition of compostable materials.
What is co-processing?,Co-processing uses waste as an alternative resource or fuel in industrial processes.
What are the categories of plastic packaging?,Plastic packaging is categorized into Category I Category II Category III and Category IV.
What is Category I plastic packaging?,Category I consists of rigid plastic packaging.
What is Category II plastic packaging?,Category II consists of flexible plastic packaging of single layer or multilayer plastic.
What is Category III plastic packaging?,Category III consists of multilayer plastic packaging containing plastic and non-plastic materials.
What is Category IV plastic packaging?,Category IV consists of plastic sheets and compostable plastic carry bags.
What is rigid plastic packaging?,Rigid plastic packaging retains its shape under normal conditions.
What is flexible plastic packaging?,Flexible plastic packaging can bend or fold easily.
What is multilayer plastic packaging?,Multilayer packaging contains multiple layers of materials combined together.
What is compostable plastic?,Compostable plastic is designed to biodegrade under industrial composting conditions.
